short,noun,verb,adjective,noun,punctuation,,,,
short,adjective,noun,verb,noun,punctuation,,,,
short,noun,conjunction,noun,verb,adverb,punctuation,,,
short,adjective,comma,adjective,noun,verb,punctuation,,,
short,verb,adjective,conjunction,verb,adjective,punctuation,,,
short,verb,preposition,noun,conjunction,verb,punctuation,,,
short,noun,verb,adjective,noun,adjective,punctuation,,,
short,verb,adverb,preposition,adjective,noun,punctuation,,,
short,noun,adverb,verb,adjective,noun,punctuation,,,
short,adjective,noun,conjunction,noun,verb,punctuation,,,
short,verb,comma,verb,comma,conjunction,verb,punctuation,,
long,adjective,noun,adverb,conjunction,adverb,verb,punctuation,,
long,adjective,noun,verb,conjunction,verb,adverb,punctuation,,
long,verb,preposition,adjective,noun,conjunction,verb,punctuation,,
long,adverb,verb,conjunction,verb,preposition,adjective,noun,punctuation,
long,adjective,comma,adjective,noun,conjunction,noun,verb,punctuation,
long,noun,verb,adjective,noun,conjunction,adjective,noun,punctuation,
long,adjective,noun,verb,noun,conjunction,noun,verb,punctuation,
long,adverb,verb,preposition,adjective,noun,conjunction,adjective,noun,punctuation
long,adjective,comma,adjective,comma,conjunction,adjective,noun,verb,punctuation