immerse,immerses,immersed
experience,experiences,experienced
search,searches,searched
explore,explores,explored
wander,wanders,wandered
cry,cries,cried
read,reads,read
die,dies,died
rage,rages,raged
respawn,respawns,respawned
complete,completes,completed
gather,gathers,gathered
run,runs,ran
flip,flips,flipped
hop,hops,hopped
jump,jumps,jumped
fly,flies,flew
fear,fears,feared
jumpscare,jumpscares,jumpscared
scream,screams,screamed
love,loves,loved
laugh,laughs,laughed
die,dies,died
kill,kills,killed
rip,rips,ripped
tear,tears,tore
obliterate,obliterates,obliterated
annilate,annilates,annilated
rage,rages,raged
reroll,rerolls,rerolled
generate,generates,generated
strategize,strategizes,strategized
solve,solves,solved
piece together,pieces together,pieced together
think,thinks,thought
ponder,ponders,pondered
relax,relaxes,relaxed
live,lives,lived
build,builds,built
craft,crafts,crafted
forage,forages,foraged
create,creates,created
starve,starves,starved
thrive,thrives,thrived
deck build,deck builds,deck built
draw,draws,drew
battle,battles,battled
level up,levels up,leveled up
Act,Acts,Acted
Break,Breaks,Broke
Color,Colors,Colored
Cry,Cries,Cried
Drink,Drinks,Drank
Exit,Exits,Exited
Laugh,Laughs,Laughed
Plan,Plans,Planned
Run,Runs,Ran
Shout,Shouts,Shouted
Sneeze,Sneezes,Sneezed
Touch,Touches,Touched
Write,Writes,Wrote
Answer,Answers,Answered
Build,Builds,Built
Cough,Coughs,Coughed
Dance,Dances,Danced
Eat,eats,Ate
Imitate,imitates,Imitated
Lie,lies,Lied
Play,plays,Played
Scream,screams,Screamed
Sing,sings,Sang
Solve,solves,Solved
Turn,turns,Turned
Whistle,whistles,Whistled
Approve,approves,Approved
Buy,buys,Bought
Create,creates,Created
Describe,describes,Described
Edit,edits,Edited
Invent,invents,Invented
Listen,listens,Listened
Read,reads,Read
See,sees,Saw
Skip,skips,Skipped
Study,studies,Studied
Walk,walks,Walked
Yank,yanks,Yanked
Arrange,arranges,Arranged
Coach,coaches,Coached
Complete,completes,Completed
Draw,draws,Drew
Enter,enters,Entered
Jump,jumps,Jumped
Paint,paints,Painted
Replace,replaces,Replaced
Shop,shops,Shopped
Sleep,sleeps,Slept
Teach,teaches,Taught
Win,wins,Won
Zip,zips,Zipped
Concern,concerns,Concerned
Doubt,doubts,Doubted
Hate,hates,Hated
Impress,impresses,Impressed
Like,likes,Liked
Mind,minds,Minded
Perceive,Perceives,Perceived
Remember,Remembers,Remembered
Decide,Decides,Decided
Feel,Feels,Felt
Hear,Hears,Heard
Know,Knows,Knew
Look,Looks,Looked
Notice,Notices,Noticed
Realize,Realizes,Realized
See,Sees,Saw
Dislike,Dislikes,Disliked
Forget,Forgets,forgot
Hope,Hopes,Hoped
Learn,Learns,learned
Love,Loves,Loved
Own,Owns,Owned
Recognize,Recognizes,Recognized
Smell,Smells,Smelt
Yawn,Yawns,Yawned
Zigzag,Zigzags,Zigzaged
Deposit,Deposits,Deposited
Drag,Drags,Dragged
Escape,Escapes,Escaped
Finance,Finances,Financed
give,gives,gave
harm,harms,harmed
influence,influences,influenced
keep,keeps,kept
kiss,kisses,kissed
pay,pays,payed
quit,quits,quitted
rub,rubs,rubbed
tackle,tackles,tackled
twist,twists,twisted
type,types,typed
view,views,viewed
Wait,Waits,Waited