immerse,adv,sim,rpg,
experience,adv,stry,sim,
search,adv,,,
explore,adv,,,
wander,adv,,,
cry,stry,hrd,hrr,chrm
read,stry,,,
die,hrd,rl,,
rage,hrd,,,
respawn,hrd,,,
complete,jump,pzl,,
gather,jump,srv,,
run,jump,hrr,,
flip,jump,,,
hop,jump,,,
jump,jump,,,
fly,jump,,,
fear,hrr,,,
jumpscare,hrr,,,
scream,hrr,,,
love,chrm,,,
laugh,chrm,,,
die,gore,rl,,
kill,gore,,,
rip,gore,,,
tear,gore,,,
obliterate,gore,,,
annilate,gore,,,
rage,gore,,,
reroll,rl,,,
generate,rl,,,
strategize,pzl,cg,rpg,
solve,pzl,,,
piece together,pzl,,,
think,pzl,,,
ponder,pzl,,,
live,sim,,,
build,srv,cg,,
craft,srv,,,
forage,srv,,,
create,srv,,,
starve,srv,,,
thrive,srv,,,
deck build,cg,,,
draw,cg,,,
battle,rpg,,,
level up,rpg,,,
Act,none,,,
Break,none,,,
Color,none,,,
Cry,none,,,
Drink,none,,,
Exit,none,,,
Laugh,none,,,
Plan,none,,,
Run,none,,,
Shout,none,,,
Sneeze,none,,,
Touch,none,,,
Write,none,,,
Answer,none,,,
Build,none,,,
Cough,none,,,
Dance,none,,,
Eat,none,,,
Imitate,none,,,
Lie,none,,,
Play,none,,,
Scream,none,,,
Sing,none,,,
Solve,none,,,
Turn,none,,,
Whistle,none,,,
Approve,none,,,
Buy,none,,,
Create,none,,,
Describe,none,,,
Edit,none,,,
Invent,none,,,
Listen,none,,,
Read,none,,,
See,none,,,
Skip,none,,,
Study,none,,,
Walk,none,,,
Yank,none,,,
Arrange,none,,,
Coach,none,,,
Complete,none,,,
Draw,none,,,
Enter,none,,,
Jump,none,,,
Paint,none,,,
Replace,none,,,
Shop,none,,,
Sleep,none,,,
Teach,none,,,
Win,none,,,
Zip,none,,,
Concern,none,,,
Doubt,none,,,
Hate,none,,,
Impress,none,,,
Like,none,,,
Mind,none,,,
Perceive,none,,,
Remember,none,,,
Decide,none,,,
Feel,none,,,
Hear,none,,,
Know,none,,,
Look,none,,,
Notice,none,,,
Realize,none,,,
See,none,,,
Dislike,none,,,
Forget,none,,,
Hope,none,,,
Learn,none,,,
Love,none,,,
Own,none,,,
Recognize,none,,,
Smell,none,,,